# Normalized exponential sums S_p/sqrt(p) for Q(n)=n^47-(n-1)^47
"# Primes p ≡ 1 (mod 47), p ≤ 50000, N=111"
prime_p,Re_Sp_over_sqrtp,Im_Sp_over_sqrtp,magnitude
283,8.644131,-0.190269,8.646225
659,0.519868,-1.277204,1.378954
941,-0.305011,1.143035,1.183030
1129,1.688080,-1.478520,2.244022
1223,-1.552597,1.159125,1.937557
1693,0.504929,0.418152,0.655595
1787,3.038741,-0.059243,3.039319
2069,-1.338150,0.083184,1.340733
2351,0.556223,2.312983,2.378923
2539,0.921520,-0.678590,1.144414
2633,0.146414,-0.330052,0.361070
3761,0.110015,0.954153,0.960475
4231,0.484832,1.662991,1.732225
4513,-0.783473,1.886903,2.043094
4889,2.171758,-0.482248,2.224656
5077,1.030430,-0.772123,1.287618
5171,1.757414,1.252926,2.158316
5641,2.834224,-0.072654,2.835155
5923,-1.491181,1.924226,2.434393
6299,-2.365019,0.003128,2.365021
6581,5.958521,0.314632,5.966822
6863,0.234370,-1.342868,1.363167
7333,0.096428,-0.468103,0.477932
8179,0.011045,-1.656682,1.656719
8273,-0.789419,-0.063419,0.791962
8461,0.512283,1.334335,1.429295
8837,-0.469922,-0.004038,0.469939
9871,1.516445,-1.800566,2.354069
10247,-2.173194,-1.336644,2.551350
10529,-0.594697,1.066599,1.221187
11093,-0.701582,1.286887,1.465706
11657,1.057489,0.251165,1.086907
11939,-0.557135,0.254780,0.612627
12409,0.280193,0.119339,0.304548
12503,0.392642,1.307819,1.365488
12973,0.299470,2.045776,2.067579
13537,1.794560,1.553319,2.373446
13913,-0.158626,0.048728,0.165941
14759,0.652539,0.104989,0.660931
14947,0.624614,0.328161,0.705572
15511,1.307040,-0.232358,1.327533
15887,1.307533,-0.117481,1.312801
16451,1.264118,0.457790,1.344457
16921,-0.824598,-1.251596,1.498818
17203,0.954343,-0.759215,1.219499
17579,1.204387,0.642977,1.365272
18049,1.418015,1.292058,1.918380
18143,-2.816529,0.308474,2.833371
19553,-0.906065,0.318948,0.960564
20023,-0.196222,-0.707252,0.733968
20117,0.329605,0.311350,0.453407
20399,4.255794,-0.409684,4.275468
20681,1.847052,0.482460,1.909023
20963,-1.161314,-2.065734,2.369790
21433,-1.306137,0.349605,1.352116
21997,0.021529,-1.780056,1.780186
22091,-0.926606,0.711982,1.168554
22279,-0.150489,-1.967363,1.973110
22937,0.978717,-0.103760,0.984202
23689,0.284381,-1.188250,1.221806
23971,1.640925,0.428888,1.696049
26227,2.464644,-0.091855,2.466355
26321,1.627076,1.589457,2.274588
27073,-0.304946,-0.208653,0.369497
27449,-0.742889,1.647949,1.807656
27919,0.269335,-1.403601,1.429209
28201,0.459365,1.620458,1.684310
28859,0.647918,-0.032843,0.648750
29423,1.098353,0.116816,1.104547
29611,-0.286629,2.513598,2.529888
30269,-0.980713,-0.457013,1.081970
31397,2.264152,0.444335,2.307340
32713,-0.868168,0.432760,0.970050
34123,-0.262820,-0.439581,0.512158
34217,-0.630291,0.314864,0.704561
34499,2.256867,0.601660,2.335689
34687,-0.092036,0.524094,0.532114
34781,2.680582,0.546205,2.735664
35251,0.446401,-2.265331,2.308895
35533,-0.621380,-0.256092,0.672083
36097,0.175634,3.433582,3.438071
36191,1.646947,-0.330788,1.679838
36473,-0.175945,0.305462,0.352511
36943,-0.770653,-0.988896,1.253723
37507,-0.498888,-0.096904,0.508213
38447,1.014548,-1.016376,1.436081
38729,-0.885706,2.697018,2.838728
38917,0.046917,1.807430,1.808039
39199,-0.290002,0.324799,0.435426
39293,-0.183983,0.094054,0.206629
39857,-0.824911,0.786487,1.139754
40609,-1.309659,0.791937,1.530481
41549,-0.009301,-0.111829,0.112215
41737,-0.831265,-0.515975,0.978382
42019,0.583421,-0.039896,0.584783
42677,-0.141806,-0.573689,0.590955
43711,-0.658264,-2.349032,2.439521
44087,-1.494275,-0.101140,1.497694
44651,-0.415134,-1.389166,1.449868
44839,-0.623961,0.925845,1.116475
45121,0.302803,-0.497841,0.582696
45403,0.550341,0.247842,0.603573
45497,-0.380212,-0.595644,0.706649
45779,-0.754789,1.927339,2.069865
46061,-0.580171,0.054378,0.582714
47189,-0.360587,0.019015,0.361088
47659,-0.017699,-0.012103,0.021441
48787,0.852169,-0.108014,0.858987
49069,0.497658,0.026113,0.498343
49633,-0.711696,0.660912,0.971244
49727,-0.264185,0.446128,0.518482
